text	label
산성 체질론은 거짓이다	1
산성비 맞으면 탈모 생긴다	0
산성비 맞으면 탈모된다	0
산성비는 몸에 큰 영향이 없다	1
산성비를 맞으면 머리가 빠진다	0
산성비와 탈모는 크게 연관이 없다	1
산성체질론은 없다	1
살이 빠지는 주파수는 존재한다	0
상처난 곳에 된장바르면 빨리 낫는다	0
상처난곳에 고추장 바르면 낫는다	0
상처에 이상한거 바르면 안된다	1
상처에는 된장을 바르면 좋다	0
선인장은 전자파를 차단한다	0
선풍기 틀고 자면 뒤진다	0
선풍기 틀고 자면 죽을 수 있다	0
선풍기를 켜놓고 자면 죽는다	0
선풍기를 켜두고 자는건 딱히 위험하지 않다	1
선풍기를 틀고 자는건 산소과 관련이 없다	1
선풍기를 틀고 자는건 안위험하다	1
선풍기를 틀고 자는건 위험하지 않다	1
선풍기를 틀고 자면 산소부족으로 죽을 수 있다	0
선풍기를 틀고 자면 위험하다	0
선풍기를 틀고 잔다고 산소가 부족해지지는 않는다	1
선풍기를 틀어놓으면 산소가 고갈된다	0
수비드는 과학적이다	1
숙변은 없다	1
숙변은 있다	0
숙변은 존재하지 않는다	1
숙변은 존재한다	0
숙변을 없애야한다	0
숙변을 제거해줘야 건강해진다	0
신이 세계를 창조했다	0
실제로 떨어진 음식이 땅에 떨어져있던 시간에 따른 안전도에 관한 논문이 발표되었다	1
쌀은 밀보다 인구부양능력이 좋다	1
아침에 사과를 먹으면 좋다	0
약 안 쓰고 아이 키우기(안아키)는 현명한 생각이다	0
양치를 하면 미뢰가 깔끔해져 혀가 민감해서 쓴 맛이 잘느껴진다	1
양파한테 좋은말을 해주면 양파가 잘 자란다	0
연금술은 가능하다	0
연금술은 과학 발전에 도움이 됐다	1
연금술은 불가능하다	1
연금술은 불가능하지만 과학에 발전에는 큰 도움이 되었다	1
연금술은 성공했다	0
연금술을 성공할 수 있다	0
연금술을 할 수 있다	0
예방접종은 몸에 안 좋다	0
오르곤 주입기는 실존한다	0
오르곤 주입기는 효과가 없지만 아내가 4시간동안 들어가 있어서 널리 퍼졌다	1
오르곤은 몸에 좋다	0
음식 냄새만 맡아도 살찐다	0
음이온은 건강과 관련이 없다	1
음이온은 건강에 이롭다	0
음이온은 건강에 좋다	0
음이온은 몸에 이롭다	0
음이온은 몸에 좋다	1
음이온은 별 효과가 없다	1
인간은 뇌의 10퍼센트만 사용한다.	1
인간은 물 속에서 숨쉴 수 있다	0
인간의 뇌는 전체 체중의 2퍼센트나 차지한다	0
인류는 단백질 구조를 예측할 수 있다	1
인류학계에서는 인종의 구분이 무의미하다고 보고 있다	1
인종의 구분은 큰 의미가 없다	1
인체는 숙변이 존재할 수 없다	1
인체에는 숙변이 없다	1
인체엔 숙변이 존재하지 않는다	1
일찍자고 늦게일어나는것이 건강에 좋다	0
일찍자면 키큰다	0
잘 때 선풍기 틀어도 된다	1
저녁에 사과를 먹으면 독이다	0
전자레인지 전자파는 건강에 큰 영향이 없다	1
전자레인지는 암을 유발한다	0
전자파 차단 스티커는 아무런 소용이 없다	1
전자파 차단 스티커는 유용하다	0
전자파 차단 스티커는 유효하다	0
전자파 차단 스티커는 전자파를 차단하지 못한다	1
전자파 차단 스티커는 효과가 없다	1
전자파 차단 스티커를 부착하면 전자파가 안통한다	0
전자파차단 스티커는 효과가 없다	1
전자파차단스티커는 효과가 없다	1
종 내부에 있는 상태에서 종을 치면 인명피해가 생긴다.	0
중력은 빛도 끌어당긴다	0
중력은 빛을 끌어당긴다	0
지구 안에는 또 다른 세상이 존재한다	0
지구는 구 모양이다	1
지구는 구 형태이다	1
지구는 도넛모양	0
지구는 도넛모양일지도 모른다	0
지구는 둥근 모양이다	1
지구는 둥글다	1
지구는 둥글다.	1
지구는 둥글지 않다	0
지구는 사실 평평하다	0
지구는 평평하다	0
지구는 평평한 모양이다	0
지구의 모양은 뫼비우스의 디를 닮았다	0
지구평평설은 맞다	0
천연비타민은 없는 것이다	1
천연비타민은 없다	1
천연비타민은 있다	0
천연비타민은 존재하지 않는다	1
천연비타민은 존재한다	0
천연효모는 없다	1
천연효모는 있다	0
천연효모는 존재하지 않는 것이다.	1
천연효모는 존재하지 않는다	1
천연효모는 존재한다	0
천연효모는 좋다	0
천연효모라는 것은 존재하지 않는다	1
카제인나트륨은 몸에 안좋다	0
카제인나트륨은 안전성이 확인됐다	1
카제인나트륨은 안좋다	0
카제인나트륨은 위험하다	0
카제인나트륨은 위험한 물질이다	0
콜라겐은 피부에 좋다	0
콜라겐을 먹으면 피부가 좋아진다	0
콜라겐을 먹으면 피부에 좋다	0
하루에 밀물과 썰물은 2번씩 일어난다	1
한국은 물부족 국가이다	0
한국은 물부족이다	0
혀 부위마다 느끼는 맛이 다르다	0
혀의 부위마다 느끼는 맛이 다르다	0
혀의 부위마다 맛을 느끼는 감도가 다르다	1
혈액형과 성격은 관계가 없다	1
혈액형과 성격은 연관이 없다	1
혈액형마다 성격이 다르다	0
혈액형별 성격은 없다	0
혈액형별로 성격이 다르다	0
혈액형에 따라 성격이 나뉜다	0
혈액형은 성격에 영향을 미친다	0
혓바닥은 부위별로 느끼는 맛이 다르다	0
화이트홀은 관측된 적이 있다	0
화이트홀을 관측한적이 있다	0
휴대폰에 전자파 차단 스티커를 붙이면 전자파가 차단된다	0
